data,br_obitos,br_obitos_acumulado,br_casos,br_casos_acumulado
2020-02-25,0,0,0,0
2020-02-26,0,0,1,1
2020-02-27,0,0,1,0
2020-02-28,0,0,1,0
2020-02-29,0,0,2,1
2020-03-01,0,0,2,0
2020-03-02,0,0,2,0
2020-03-03,0,0,2,0
2020-03-04,0,0,3,1
2020-03-05,0,0,7,4
2020-03-06,0,0,13,6
2020-03-07,0,0,19,6
2020-03-08,0,0,25,6
2020-03-09,0,0,25,0
2020-03-10,0,0,34,9
2020-03-11,0,0,52,18
2020-03-12,0,0,77,25
2020-03-13,0,0,98,21
2020-03-14,0,0,121,23
2020-03-15,0,0,200,79
2020-03-16,0,0,234,34
2020-03-17,1,1,291,57
2020-03-18,3,4,428,137
2020-03-19,2,6,621,193
2020-03-20,5,11,904,283
2020-03-21,7,18,1128,224
2020-03-22,7,25,1546,418
2020-03-23,9,34,1891,345
2020-03-24,12,46,2201,310
2020-03-25,11,57,2433,232
2020-03-26,20,77,2915,482
2020-03-27,15,92,3417,502
2020-03-28,22,114,3903,486
2020-03-29,22,136,4256,353
2020-03-30,23,159,4579,323
2020-03-31,42,201,5717,1138
2020-04-01,40,241,6834,1117
2020-04-02,58,299,7910,1076
2020-04-03,60,359,9056,1146
2020-04-04,73,432,10278,1222
2020-04-05,54,486,11130,852
2020-04-06,67,553,12056,926
2020-04-07,114,667,13717,1661
2020-04-08,133,800,15927,2210
2020-04-09,141,941,17857,1930
2020-04-10,115,1056,19638,1781
2020-04-11,68,1124,20727,1089
2020-04-12,99,1223,22169,1442
2020-04-13,105,1328,23430,1261
2020-04-14,204,1532,25262,1832
2020-04-15,204,1736,28320,3058
2020-04-16,188,1924,30425,2105
2020-04-17,217,2141,33682,3257
2020-04-18,206,2347,36599,2917
2020-04-19,115,2462,38654,2055
2020-04-20,113,2575,40581,1927
2020-04-21,166,2741,43079,2498
2020-04-22,165,2906,45757,2678
2020-04-23,407,3313,49492,3735
2020-04-24,357,3670,52995,3503
2020-04-25,346,4016,58509,5514
2020-04-26,189,4205,61888,3379
2020-04-27,338,4543,66501,4613
2020-04-28,474,5017,71886,5385
2020-04-29,449,5466,78162,6276
2020-04-30,435,5901,85380,7218
2020-05-01,428,6329,91299,5919
2020-05-02,395,6724,96396,5097
2020-05-03,301,7025,101147,4751
2020-05-04,296,7321,107780,6633
2020-05-05,600,7921,114715,6935
2020-05-06,614,8535,125218,10503
2020-05-07,611,9146,135106,9888
2020-05-08,749,9895,145328,10222
2020-05-09,732,10627,155939,10611
2020-05-10,496,11123,162699,6760
2020-05-11,396,11519,168331,5632
2020-05-12,881,12400,177589,9258
2020-05-13,749,13149,188974,11385
2020-05-14,844,13993,202918,13944
2020-05-15,824,14817,218223,15305
2020-05-16,816,15633,233142,14919
